"business_status";"lat";"lng";"icon";"name";"place_id";"price_level";"photo_reference";"rating";"place_types";"user_ratings_total";"address"
"OPERATIONAL";18.4544326;-66.0551023;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Numero Uno Beach Hotel & Restaurant";"ChIJ-fnQ91pvA4wRiTZzTYSvrxc";0.0;"ATtYBwIWkwKlDzYZbWtyLtGKhsgJ0Aapo9nCvGJJrth0w3WdqN95Tv8tvwD9NCSuKG9MmljpdQlH2plvff8UHDa8g6FNnIKm1lzg79ommveo-F72Ctx1TxcSjZfLo1lTcz6ug4oZfCrGOflTuIJo72fhLpUnVBHuWk-lC1Xp_GZGRWyfexYl";4.5;"['restaurant', 'lodging', 'food', 'point_of_interest', 'establishment']";648;"1 Calle Santa Ana, San Juan"
"OPERATIONAL";18.4670667;-66.1151222;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png";"La Terraza De San Juan";"ChIJvVcA3MBuA4wRWCe1JjHfXO8";0.0;"ATtYBwK7JlaV8K_zSzMWY00fgyo9n851SZk1dYsaGeS-oZoH6MSZEBL1AdlwwuUbDyt09lEdrtaMAfB0ZLDdeEFkE1L7pDa_167WLKngF19in6PQlcp_QbFL8ezvGqW4DR0YLxv0A73XTmcoeW636qHBaNoUg4VlBJLfa1Ors1D30ZLyyjCa";4.5;"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']";389;"262 Calle Sol, San Juan"
"OPERATIONAL";18.4134611;-66.09799869999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"El Churry";"ChIJMTlLMQNpA4wROCvhDJpyRSU";1.0;"ATtYBwLH-Ewsant77bFAleVCnmr4BOTzutfsvJxXF04Zpj0Y-OKozqC1z7peCzdiPAbNJHYkDfhjjQBdP1B8EbFskHtZRRv7OinfXmxqPL6w8anQgZvo9FXBCmt3JJjlVEwv6G6j-Z1gAY5GTobnoiJY58ZiGDhmcRg2sw_ioLFs-Kk32BFm";4.6;"['restaurant', 'food', 'point_of_interest', 'establishment']";187;"Calle Resolución, San Juan"
"OPERATIONAL";18.46712119999999;-66.1146498;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"El Jibarito";"ChIJ-VQfIsFuA4wRqxvR7NUJHss";1.0;"ATtYBwI-BrzLb-PGgTNZhwKfd2Xr824E0Wrt2Vru2i7l6cc9aBPpNK_yWowhVK_qVVzz1Ou71obli5oR8HXoCuLQZUUgcaBKbQZG4hOHDwQU5Lln_4s6Cf16c-tbQCUW5Pr4UUha6ftchFJnpDKgierYQyeTQ7BSg9wRCQkNbQVAhxjm45G0";4.4;"['restaurant', 'food', 'point_of_interest', 'establishment']";2266;"280 Calle Sol, San Juan"
"OPERATIONAL";18.459025;-66.0769625;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"New Taste";"ChIJz4BfxTtvA4wRYvXZxLtrIms";2.0;"ATtYBwJB9qJ85f9UBcTKTCxCNJz6HTMLQpzUqE3A0QMOySFS6_yw8lnlnzZrdWDInRaoiHsjcnv4q1uNnPtZnxqI4tMTAQ8S2YE2JNYNm4rPGc0l_lTUVESnCAppOfOo0nNTGZP0EHDsAxkELVXZjju77xg9E2Yoh_niukOa02I5meoVe7q6";4.3;"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']";679;"1051 Ashford Avenue, San Juan"
"OPERATIONAL";18.46389;-66.11242;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Señor Frog's";"ChIJqW8YmsZuA4wRL0wFRwhiH8s";2.0;"ATtYBwKPzvEUsBjbnDdmVJ7zAW-KIy9qI8sS4Nd-oMUxjZeyY3bCopvNIGQdQ92S93pKTjZg5WhudSMs5lpONJ_-QBDG21bgoUBcLUo1o3FKqDWEgEYAf38Vq--ZFHMuCQimzU875VtGUZMaze8DDDd-8ntSzPdZjyu5Aun19uyNCKZuAHaU";4.1;"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']";1396;"102 Calle Marina, San Juan"
"CLOSED_TEMPORARILY";18.4666233;-66.11210129999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Cafe Berlin";"ChIJo2J5WcFuA4wRjR8EhDW7-YU";2.0;"ATtYBwI_YWeRfioawBeuTeVDjFqUC-o7zHDTmKA6uqFlwfAL8_ijQx0Q0oXGR5HUNLU1TkmvXMErMAzVz674MrP5EWDewMSjZ2_ZxJ_bZ32SwLewvYkPr07zqQYowsD0kcOkud2OXAO33yBPg4IJAG3vCyaQyzzkvSUfLXuxYcREPoAPzhmC";4.2;"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']";704;"407 San Francisco Street, San Juan"
"OPERATIONAL";18.4221678;-66.1611285;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Subway";"ChIJV6yfIMZrA4wRBQgP__aGvsk";1.0;"";3.7;"['restaurant', 'food', 'point_of_interest', 'establishment']";6;"167 Expreso Río Hondo, Bayamón"
"OPERATIONAL";18.46569329999999;-66.1127937;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"La Cucina di Ivo";"ChIJA9l6n7huA4wRdg7MOLUKelQ";2.0;"ATtYBwITltjflRUo_EqXhbHGIQE_6HcqmMRLFmJmZ9xEeH5iJvQ3SjyQlDTmM3VdOpG7tdaJqiJmZjgKokSpo-LkSY4yZj7eP-Ci-K3XcdKMGJXta7bdxmBaR0BVF2VnCdy0zGAkIF9KQNqCMoUJmke-TqCaWHubWdsbLvaHix9OibcuLvKo";4.7;"['restaurant', 'food', 'point_of_interest', 'establishment']";169;"356 Calle de la Fortaleza, San Juan"
"OPERATIONAL";18.4670365;-66.11832369999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"El Patio De Sam";"ChIJbZ4YUL9uA4wR9Y1OHnBrlNE";2.0;"ATtYBwKdiPO3rW5sVVkLZrOT3b7O8smIBurPqB0kxw4H0GDwaOd9xszFPFSYkC-7FrkaBnSMgrpRRBu5bbNj3Kg5rpgXoxYE8GcXZYSHpL9qEvM73ahEtEPLZtDFt4PALQFYVFCi9GCQS1308-OnwC9lAaMIhnAsF2_nR0Rsyo7jZWClh3Qh";4.2;"['restaurant', 'food', 'point_of_interest', 'establishment']";591;"102 Calle San Sebastián, San Juan"
